Recording_ID,Latitude,Longitude,bout_duration_ms,num_syllables,num_syllable_per_bout_duration_1_ms,largest_syllable_duration_ms,smallest_syllable_duration_ms,avg_syllable_duration_ms,num_unique_syllables,num_syllables_per_num_unique,avg_sylls_upper_freq_Hz,avg_sylls_lower_freq_Hz,max_sylls_freq_Hz,min_sylls_freq_Hz,overall_sylls_freq_range_Hz,largest_sylls_freq_range_Hz,smallest_sylls_freq_range_Hz,avg_sylls_freq_range_Hz,Species,Source
27404,40.7709151,-73.1553978,1494.920635,20,0.013378637,137.1428571,28.25396825,41.79365079,2,10,5817.675439,3384.868421,6533.333333,2192.105263,4384.210526,3094.736842,1375.438596,2475.789474,Pipilo erythrophthalmus,ML
27407,40.7709151,-73.1553978,847.6190476,10,0.011797753,94.6031746,47.61904762,56.31746032,3,3.333333333,5050.438596,3215.087719,6920.175439,2879.824561,4083.333333,3309.649123,816.6666667,1878.333333,Pipilo erythrophthalmus,ML
27407,40.7709151,-73.1553978,1003.174603,13,0.012958861,101.5873016,23.80952381,36.43467643,2,6.5,4671.862348,3640.283401,4814.035088,2235.087719,2621.929825,1504.385965,816.6666667,1074.561404,Pipilo erythrophthalmus,ML
27409,40.7709151,-73.1553978,1140.31746,16,0.01403118,100.3174603,23.80952381,49.54365079,3,5.333333333,5558.16886,3513.815789,7521.929825,1977.192982,5587.719298,2621.929825,902.6315789,2087.335526,Pipilo erythrophthalmus,ML
27412,40.7709151,-73.1553978,1322.539683,7,0.005292847,218.7301587,62.22222222,129.6598639,4,1.75,4893.859649,2738.596491,6361.403509,2063.157895,4341.22807,2707.894737,558.7719298,2198.245614,Pipilo erythrophthalmus,ML
27412,40.7709151,-73.1553978,1376.825397,13,0.009442011,162.8571429,47.61904762,61.0989011,3,4.333333333,4956.207827,2830.22942,7908.77193,2578.947368,5372.807018,3696.491228,1977.192982,2168.960864,Pipilo erythrophthalmus,ML
27418,40.7709151,-73.1553978,1051.746032,14,0.013311198,223.8095238,13.65079365,64.01360544,4,3.5,6603.947368,3469.298246,7221.052632,2750.877193,4513.157895,3997.368421,300.877193,3177.631579,Pipilo erythrophthalmus,ML
27429,40.7709151,-73.1553978,997.1428571,11,0.011031519,252.3809524,41.58730159,61.7027417,2,5.5,5478.30941,3477.671451,6103.508772,2750.877193,3395.614035,2578.947368,1418.421053,2043.620415,Pipilo erythrophthalmus,ML
27436,40.7709151,-73.1553978,1281.587302,32,0.024969036,52.06349206,11.74603175,22.60912698,5,6.4,4337.198465,3824.095395,5888.596491,2149.122807,3782.45614,2450,343.8596491,556.0855263,Pipilo erythrophthalmus,ML
27442,40.7709151,-73.1553978,1056.825397,19,0.017978372,194.9206349,6.984126984,31.946533,4,4.75,4286.934441,3069.852262,5372.807018,1934.210526,3481.578947,2836.842105,429.8245614,1260.064635,Pipilo erythrophthalmus,ML
27453,40.8333333,-73.3333333,1039.68254,11,0.010580153,206.031746,11.11111111,56.94083694,5,2.2,4688.995215,3329.186603,5759.649123,2235.087719,3567.54386,3567.54386,515.7894737,1402.791069,Pipilo erythrophthalmus,ML
27458,40.8333333,-73.3333333,1166.031746,13,0.011148925,210.1587302,7.301587302,44.17582418,3,4.333333333,4562.753036,3921.322537,4900,2621.929825,2321.052632,988.5964912,343.8596491,684.4129555,Pipilo erythrophthalmus,ML
27461,40.7709151,-73.1553978,1166.984127,16,0.013710555,77.46031746,20.95238095,38.5515873,3,5.333333333,4593.75,2877.138158,7435.964912,1848.245614,5630.701754,3223.684211,1117.54386,1759.594298,Pipilo erythrophthalmus,ML
27462,40.8333333,-73.3333333,1017.142857,7,0.006882022,227.3015873,38.41269841,95.46485261,4,1.75,4672.807018,2947.368421,5888.596491,2450,3481.578947,3481.578947,816.6666667,1768.421053,Pipilo erythrophthalmus,ML
27463,40.7709151,-73.1553978,1086.984127,8,0.007359813,257.7777778,40.95238095,80.11904762,3,2.666666667,4760.307018,2535.964912,5458.77193,1977.192982,3524.561404,2922.807018,1633.333333,2267.324561,Pipilo erythrophthalmus,ML
27463,40.7709151,-73.1553978,848.8888889,9,0.010602094,96.19047619,29.84126984,50.37037037,3,3,4756.725146,2602.826511,5673.684211,1977.192982,3739.473684,3696.491228,1590.350877,2196.881092,Pipilo erythrophthalmus,ML
27463,40.7709151,-73.1553978,1012.063492,8,0.007904642,193.3333333,14.28571429,70.91269841,4,2,4846.27193,2530.592105,6404.385965,1934.210526,4513.157895,3954.385965,988.5964912,2358.662281,Pipilo erythrophthalmus,ML
27467,40.8333333,-73.3333333,1112.698413,8,0.007189729,250.1587302,37.77777778,79.92063492,3,2.666666667,4781.798246,2901.315789,5114.912281,1719.298246,3438.596491,3438.596491,902.6315789,1923.464912,Pipilo erythrophthalmus,ML
27469,40.7709151,-73.1553978,1030.793651,7,0.006790884,197.1428571,86.03174603,105.170068,3,2.333333333,4580.701754,2210.526316,4985.964912,1805.263158,3223.684211,3223.684211,601.754386,2413.157895,Pipilo erythrophthalmus,ML
27470,40.7709151,-73.1553978,1118.095238,10,0.008943782,242.5396825,44.12698413,70.6031746,4,2.5,5342.719298,2828.245614,6963.157895,2278.070175,4728.070175,4513.157895,644.7368421,2557.45614,Pipilo erythrophthalmus,ML
27477,40.8333333,-73.3333333,1224.761905,6,0.004898911,280.3174603,51.11111111,119.4708995,3,2,4606.28655,2543.128655,6189.473684,1762.280702,4470.175439,4470.175439,515.7894737,2106.140351,Pipilo erythrophthalmus,ML
27477,40.8333333,-73.3333333,1304.761905,11,0.008430657,282.2222222,21.9047619,77.54689755,3,3.666666667,5173.524721,2848.564593,5802.631579,2192.105263,3653.508772,2879.824561,515.7894737,2367.942584,Pipilo erythrophthalmus,ML
27477,40.8333333,-73.3333333,1079.365079,12,0.011117647,233.3333333,15.23809524,47.64550265,4,3,4463.011696,3291.739766,4771.052632,2192.105263,2621.929825,2020.175439,257.8947368,1214.254386,Pipilo erythrophthalmus,ML
27479,40.7709151,-73.1553978,1141.269841,16,0.014019471,157.4603175,5.714285714,42.81746032,3,5.333333333,5112.225877,3857.675439,5845.614035,1762.280702,4126.315789,2922.807018,300.877193,1297.532895,Pipilo erythrophthalmus,ML
27486,40.8333333,-73.3333333,1212.380952,11,0.009073056,279.3650794,28.88888889,60,3,3.666666667,4692.902711,2903.269537,5071.929825,2020.175439,3094.736842,2836.842105,472.8070175,1832.61563,Pipilo erythrophthalmus,ML
27486,40.8333333,-73.3333333,1261.269841,7,0.005549962,288.8888889,22.22222222,115.9183673,4,1.75,5065.789474,2707.894737,7521.929825,1977.192982,5587.719298,4169.298246,515.7894737,2400.877193,Pipilo erythrophthalmus,ML
27486,40.8333333,-73.3333333,1490.793651,11,0.00737862,238.7301587,26.98412698,75.06493506,4,2.75,5337.639553,3325.279107,6576.315789,2063.157895,4556.140351,4169.298246,601.754386,2055.342903,Pipilo erythrophthalmus,ML
27486,40.8333333,-73.3333333,1189.52381,10,0.008406725,241.2698413,21.9047619,80.34920635,3,3.333333333,5076.22807,3086.140351,5415.789474,2578.947368,2879.824561,2621.929825,687.7192982,2033.070175,Pipilo erythrophthalmus,ML
27487,40.7709151,-73.1553978,622.2222222,10,0.016071429,77.14285714,32.06349206,45.77777778,2,5,5867.105263,3339.736842,5931.578947,2922.807018,3051.754386,2965.789474,472.8070175,2570.350877,Pipilo erythrophthalmus,ML
27487,40.7709151,-73.1553978,1123.809524,17,0.015127119,214.2857143,31.42857143,44.81792717,3,5.666666667,5822.858617,2809.029928,6490.350877,1934.210526,4599.122807,4126.315789,1332.45614,3056.811146,Pipilo erythrophthalmus,ML
27487,40.7709151,-73.1553978,1102.222222,20,0.018145161,224.1269841,15.23809524,33.88888889,4,5,4717.324561,3178.552632,6834.210526,2192.105263,4685.087719,3395.614035,773.6842105,1581.754386,Pipilo erythrophthalmus,ML
27487,40.7709151,-73.1553978,640.3174603,6,0.009370352,112.0634921,84.44444444,93.96825397,1,6,4133.479532,2149.122807,4298.245614,2106.140351,2235.087719,2235.087719,1848.245614,2027.339181,Pipilo erythrophthalmus,ML
27487,40.7709151,-73.1553978,1475.873016,12,0.008130781,267.3015873,34.28571429,88.01587302,4,3,5086.25731,2661.330409,7650.877193,1977.192982,5716.666667,5673.684211,1547.368421,2467.909357,Pipilo erythrophthalmus,ML
27491,40.8333333,-73.3333333,1326.349206,6,0.004523696,286.984127,88.25396825,136.1375661,2,3,4527.48538,2557.45614,5888.596491,2192.105263,3739.473684,3352.631579,558.7719298,2013.011696,Pipilo erythrophthalmus,ML
27493,40.8333333,-73.3333333,1228.571429,13,0.010581395,240.6349206,13.65079365,62.97924298,4,3.25,4625.573549,2694.669366,5544.736842,2106.140351,3481.578947,3051.754386,386.8421053,1973.88664,Pipilo erythrophthalmus,ML
27496,40.8333333,-73.3333333,1165.396825,12,0.010296922,254.6031746,54.28571429,72.93650794,2,6,5043.274854,2442.836257,5372.807018,2321.052632,3094.736842,3008.77193,1289.473684,2643.421053,Pipilo erythrophthalmus,ML
27497,40.8333333,-73.3333333,1365.714286,13,0.009518828,239.6825397,24.44444444,61.58730159,3,4.333333333,4566.059379,2959.176788,5200.877193,1891.22807,3352.631579,2235.087719,472.8070175,1649.865047,Pipilo erythrophthalmus,ML
27501,40.8333333,-73.3333333,1343.174603,16,0.011912078,247.6190476,27.93650794,53.78968254,4,4,4787.171053,3763.651316,5458.77193,2535.964912,2965.789474,2364.035088,472.8070175,1066.502193,Pipilo erythrophthalmus,ML
27504,40.8333333,-73.3333333,1367.619048,14,0.010236769,238.4126984,15.87301587,70.52154195,3,4.666666667,5286.842105,2852.192982,6017.54386,2235.087719,3825.438596,3137.719298,472.8070175,2477.631579,Pipilo erythrophthalmus,ML
27507,40.8333333,-73.3333333,1056.825397,11,0.010408531,264.7619048,25.71428571,56.62337662,3,3.666666667,5005.502392,3192.424242,5587.719298,2364.035088,3266.666667,2621.929825,472.8070175,1856.060606,Pipilo erythrophthalmus,ML
27512,40.8333333,-73.3333333,1311.746032,16,0.012197483,224.1269841,22.85714286,48.53174603,3,5.333333333,4749.561404,3325.767544,5544.736842,2149.122807,3438.596491,2836.842105,429.8245614,1466.776316,Pipilo erythrophthalmus,ML
27515,40.8333333,-73.3333333,640.6349206,2,0.003121903,323.4920635,46.66666667,185.0793651,2,1,5329.824561,2342.54386,6447.368421,2020.175439,4470.175439,4470.175439,1590.350877,3030.263158,Pipilo erythrophthalmus,ML
27522,40.8333333,-73.3333333,1000.634921,5,0.004996827,302.5396825,66.03174603,121.3333333,2,2.5,5347.017544,2183.508772,5630.701754,1848.245614,3825.438596,3825.438596,1934.210526,3206.491228,Pipilo erythrophthalmus,ML
27529,40.8333333,-73.3333333,1363.492063,11,0.00806752,270.4761905,26.34920635,71.1976912,3,3.666666667,5747.926635,3063.476874,6232.45614,2578.947368,3696.491228,3309.649123,515.7894737,2727.432217,Pipilo erythrophthalmus,ML
27531,40.8333333,-73.3333333,1564.761905,11,0.007029823,337.4603175,35.55555556,98.61471861,4,2.75,5130.542265,3411.244019,7178.070175,2492.982456,4728.070175,3008.77193,558.7719298,1762.280702,Pipilo erythrophthalmus,ML
27535,40.8333333,-73.3333333,1646.984127,12,0.007286045,266.984127,50.47619048,93.01587302,4,3,5061.184211,3241.593567,7307.017544,2450,4900,3094.736842,687.7192982,1862.573099,Pipilo erythrophthalmus,ML
27541,40.8333333,-73.3333333,1396.507937,15,0.010741078,237.1428571,23.80952381,53.05820106,4,3.75,4676.491228,3246.608187,5759.649123,2450,3352.631579,3352.631579,558.7719298,1472.865497,Pipilo erythrophthalmus,ML
27554,40.7709151,-73.1553978,1260.634921,9,0.00713926,196.1904762,39.36507937,76.50793651,4,2.25,4121.539961,3008.77193,5329.824561,2535.964912,2836.842105,2278.070175,601.754386,1155.750487,Pipilo erythrophthalmus,ML
27554,40.7709151,-73.1553978,1197.777778,11,0.009183673,208.2539683,24.76190476,64.93506494,4,2.75,4560.047847,3098.644338,6404.385965,2492.982456,3954.385965,3653.508772,515.7894737,1504.385965,Pipilo erythrophthalmus,ML
27554,40.7709151,-73.1553978,1426.984127,11,0.007708565,195.2380952,14.28571429,71.34199134,5,2.2,5759.649123,3356.539075,7478.947368,2192.105263,5329.824561,3438.596491,558.7719298,2446.092504,Pipilo erythrophthalmus,ML
27557,40.7709151,-73.1553978,728.2539683,7,0.009612031,192.6984127,41.58730159,68.3446712,2,3.5,5213.157895,3137.719298,6060.526316,2621.929825,3481.578947,2664.912281,1160.526316,2118.421053,Pipilo erythrophthalmus,ML
27557,40.7709151,-73.1553978,1005.714286,12,0.011931818,51.11111111,38.41269841,44.89417989,3,4,5480.263158,3488.74269,7350,3094.736842,4298.245614,2750.877193,1203.508772,2034.502924,Pipilo erythrophthalmus,ML
